,city,0,100,0km_h,100km_h,imp,centerlon,centerlat
82,xining,10.28546102,10.89842735,37.02765967,39.23433846,5.959541617,101.438713,36.825832
83,xinxiang,8.727072361,10.16241433,31.4174605,36.58469159,16.44700433,114.09562,35.263128
84,xi_an,8.862610139,9.824910387,31.9053965,35.36967739,10.85797787,108.796549,34.105793
85,xuzhou,9.920547274,10.43321544,35.71397019,37.55957558,5.167740769,117.522638,34.354254
86,yancheng,10.20910452,10.49283138,36.75277627,37.77419297,2.779155208,120.199905,33.512617
87,yangzhou,9.805281374,10.39641683,35.29901295,37.42710059,6.028745463,119.479711,32.735359
88,yantai,9.846715744,11.0343568,35.44817668,39.72368448,12.06129116,120.8045,37.24469
89,yili,10.04084025,10.10633666,36.1470249,36.38281198,0.65230009,82.127485,43.447256
90,yinchuan,8.004137127,9.062559566,28.81489366,32.62521444,13.22344211,106.347879,38.286237
91,zhangjiakou,7.783761671,8.316156298,28.02154202,29.93816267,6.839811514,115.038236,40.866547
92,zhangzhou,8.396203619,9.539185519,30.22633303,34.34106787,13.61307981,117.458498,24.329213
93,zhanjiang,9.17973901,10.17847756,33.04706044,36.64251922,10.87981422,110.169193,21.073012
94,zhaoqing,10.4540962,10.87308604,37.63474632,39.14310974,4.007901133,112.210424,23.53509
95,zhengzhou,10.261994,10.82762607,36.9431784,38.97945385,5.511911915,113.477292,34.625642
96,zhenjiang,10.20609465,10.79088518,36.74194074,38.84718665,5.72981684,119.458047,32.013633
97,zhongshan,8.897623492,9.182499331,32.03144457,33.05699759,3.201707054,113.398713,22.517217
98,zhuhai,9.768871083,10.37983294,35.1679359,37.36739858,6.254170536,113.36317,22.150337
99,zibo,9.302585769,10.18695498,33.48930877,36.67303793,9.506703114,118.059119,36.608282
